age,gender,exp,region,marka,year,engine,kbm,rise
41,0,24,183,Cadillac,1993,106,0,0
37,0,17,108,Mercedes-Benz,1997,117,2,1
36,1,10,83,Pontiac,1987,80,1,0
44,0,8,220,Buick,1988,500,1,1
56,1,10,47,Hyundai,1997,104,4,1
45,0,26,23,Lincoln,2002,136,3,0
34,1,1,165,Suzuki,1992,645,0,1
48,1,17,157,Maserati,1990,123,3,1
44,1,14,42,Chrysler,2007,125,0,1
33,0,7,148,Ford,2004,209,2,0
32,0,24,158,Audi,1994,107,1,1
34,0,8,184,Pontiac,2002,314,2,0
38,0,9,54,Nissan,2009,258,3,0
35,0,19,173,GMC,1997,93,2,0
44,0,28,34,Audi,2012,105,0,0
43,0,8,134,BMW,1997,487,3,1
49,1,7,131,Toyota,2005,405,3,1
46,0,20,158,Cadillac,1997,154,2,1
45,0,11,142,Mitsubishi,2004,101,2,0
46,1,29,93,Jensen,1966,150,0,0
45,1,15,41,Toyota,1987,139,4,1
48,1,5,120,Nissan,2003,380,3,0
63,0,26,214,Toyota,1996,95,0,1
44,0,2,112,Mercedes-Benz,1987,182,3,0
45,1,25,34,Mitsubishi,1987,107,1,1
62,0,8,136,Studebaker,1961,96,4,1
48,0,2,143,GMC,2004,237,3,1
37,0,16,88,GMC,2012,123,4,0
35,0,18,216,Lotus,2007,108,3,0
48,1,13,131,Ford,2008,99,4,0
39,0,24,68,Subaru,1990,400,2,1
49,0,9,40,Mazda,2003,152,0,1
44,0,5,170,GMC,1998,97,1,0
50,0,24,130,Chevrolet,1994,92,2,0
30,0,5,44,Chevrolet,2009,215,2,1
54,1,22,177,Volkswagen,1991,102,3,0
38,1,11,136,Mercedes-Benz,1984,136,1,1
53,0,7,33,Pontiac,1966,175,0,1
53,0,8,99,Mercury,1986,81,3,1
29,1,7,58,Saturn,1998,180,3,0
58,1,2,140,Volkswagen,1994,207,4,0
55,0,7,82,Mazda,2010,111,4,0
55,1,7,205,Mercedes-Benz,2000,349,1,0
56,0,20,103,Chevrolet,2006,116,0,1
39,0,6,184,Lexus,1998,297,3,1
44,1,5,131,Honda,1997,303,3,0
34,1,12,24,Ford,1998,100,0,1
34,0,6,110,Volkswagen,1991,156,1,0
36,1,5,71,Acura,2000,408,4,0
41,1,21,38,Subaru,2000,158,3,1
46,1,22,173,Chevrolet,1999,119,4,1
45,0,21,37,Maybach,2005,123,4,1
42,1,3,170,Pontiac,2002,81,0,0
38,1,20,15,Chevrolet,2005,87,3,0
33,1,1,218,Lincoln,1995,293,1,1
37,0,10,141,Toyota,2001,126,3,1
42,0,6,52,Lincoln,2011,288,0,0
47,0,11,67,Nissan,2000,92,1,1
43,0,17,24,Nissan,2011,154,0,1
52,0,3,12,Chevrolet,2009,386,3,1
43,1,24,63,Volkswagen,2000,116,2,1
64,1,36,140,Mazda,1997,491,4,0
66,1,7,216,Subaru,2004,264,1,0
60,1,3,165,Daewoo,2000,113,1,0
35,0,25,136,Chevrolet,1995,86,2,0
52,1,9,97,Chevrolet,2007,627,3,1
52,0,14,171,Mazda,2004,95,0,0
56,1,15,87,Cadillac,2011,90,0,1
38,0,8,33,Buick,1993,83,1,1
55,0,1,110,Mercedes-Benz,2010,432,2,0
47,1,19,31,Citroën,1989,132,3,1
37,1,3,147,Volkswagen,1994,447,0,0
47,1,15,188,Alfa Romeo,1994,130,3,1
26,1,5,174,Lexus,2011,478,0,0
61,0,24,208,Mitsubishi,1986,106,1,0
41,0,28,207,Lotus,1985,153,0,0
40,0,5,123,Land Rover,1990,83,4,0
52,1,4,19,Chevrolet,2002,169,4,0
58,0,14,60,Chrysler,1997,146,1,0
52,1,1,111,Mercury,1988,132,2,0
38,0,4,140,Oldsmobile,1998,440,3,0
41,1,22,102,Volkswagen,2002,104,1,0
37,0,2,183,Scion,2011,364,0,1
48,1,19,79,Ram,2011,157,3,0
47,1,8,196,GMC,2004,443,0,0
41,1,23,1,Ford,2002,143,2,0
49,0,17,206,Ford,2005,159,2,0
41,1,5,47,Ford,2008,394,4,0
47,1,20,28,Lincoln,2013,114,3,1
30,0,20,214,GMC,1992,85,1,0
44,0,19,119,Porsche,2002,119,2,0
46,0,15,134,Toyota,2009,121,2,1
49,0,5,149,Chevrolet,1997,666,3,0
33,0,4,145,Buick,2000,468,3,0
34,0,7,66,Toyota,2007,179,0,1
44,0,4,216,Lexus,2013,184,4,0
43,0,6,127,Subaru,2000,253,0,0
62,0,6,67,Ford,2006,435,0,1
42,1,6,5,Ford,1985,126,0,0
36,0,19,204,Chevrolet,1996,127,4,0
47,1,6,16,Chevrolet,1998,118,2,1
50,1,17,195,Oldsmobile,1996,104,4,1
51,1,5,194,Jeep,1998,84,1,1
46,0,2,160,Mercedes-Benz,2004,383,4,0
50,0,36,49,Chevrolet,2010,427,1,1
43,0,19,173,Toyota,1995,122,2,0
39,0,18,151,Porsche,2002,118,2,0
43,0,3,31,Toyota,2008,107,2,0
60,0,2,165,Oldsmobile,1996,446,4,1
55,1,8,212,Chevrolet,1980,161,0,0
40,0,39,201,Ford,1983,94,1,1
39,0,38,197,Chevrolet,2004,108,3,1
49,1,1,58,Toyota,2000,101,0,1
38,1,6,80,Subaru,1988,399,0,0
42,1,1,219,Cadillac,2009,105,4,0
42,0,17,163,Infiniti,2009,126,2,0
49,0,5,128,Nissan,2003,107,3,1
36,0,2,25,Chevrolet,2006,230,0,0
34,1,6,16,Chevrolet,1999,100,0,0
49,0,25,84,Volkswagen,1988,125,0,1
52,1,18,172,Nissan,2011,94,2,0
50,1,7,156,Buick,1989,332,2,0
53,0,8,77,Ford,1992,410,1,0
55,1,18,31,Dodge,2003,114,1,0
40,0,3,162,Mitsubishi,1997,245,3,0
40,0,3,114,Chrysler,1999,151,4,0
45,0,10,118,Buick,2007,114,4,1
80,1,5,131,Mitsubishi,2002,424,2,0
48,1,20,199,Ford,1970,126,3,1
37,1,4,177,BMW,1993,389,2,0
40,0,7,95,Volkswagen,2011,164,1,1
26,1,13,69,Nissan,2005,111,3,0
45,0,1,12,Acura,2011,415,0,0
46,0,27,71,Toyota,1999,82,3,1
42,0,5,58,Chevrolet,1992,435,3,0
36,0,19,200,Mercury,2002,157,2,0
45,0,11,47,BMW,2000,104,3,0
52,0,21,180,Geo,1993,90,4,1
41,1,36,145,Chevrolet,2002,123,4,1
36,0,32,35,Saab,2008,87,0,0
56,0,2,182,BMW,2012,122,4,0
53,0,9,179,Maserati,2005,106,4,0
39,0,8,108,Audi,2011,179,4,1
38,0,13,182,Cadillac,2007,110,2,1
45,1,17,217,Chevrolet,1993,102,1,0
46,0,6,200,Nissan,2010,101,4,0
43,1,31,163,Ford,2008,143,3,1
54,0,30,135,Pontiac,2006,124,3,0
55,1,19,2,Maybach,2008,98,3,1
61,0,4,59,Pontiac,2004,440,0,1
50,1,20,183,Mitsubishi,2000,157,4,0
62,0,25,149,Dodge,1993,155,4,0
53,0,5,67,Dodge,2011,125,4,0
52,1,25,172,Chevrolet,2007,81,1,1
54,0,7,41,Chrysler,1994,99,4,0
53,0,16,2,Chevrolet,1999,152,3,0
51,0,21,220,Nissan,2000,88,2,1
39,1,22,99,Ford,2005,157,2,0
38,0,18,193,Plymouth,1999,143,0,1
42,1,15,158,Buick,2005,103,1,1
31,0,7,148,Lincoln,1989,400,2,1
44,1,10,78,Honda,2000,138,1,1
41,0,21,49,Oldsmobile,2003,102,4,1
36,0,10,14,Mazda,2003,112,4,1
48,0,1,17,Ford,1999,344,1,0
49,0,5,173,Dodge,2012,324,3,1
45,0,7,181,Nissan,1998,159,1,1
47,1,5,31,Audi,2001,489,3,1
41,0,5,90,GMC,2007,107,4,1
45,0,5,164,Dodge,2009,114,0,1
53,0,38,208,Mazda,2011,159,4,1
51,0,4,93,Mercedes-Benz,2005,228,1,1
51,0,25,9,Ford,2001,126,1,1
36,1,28,128,Pontiac,1962,86,3,1
43,0,25,4,Mazda,1997,126,3,0
43,0,6,183,Toyota,2011,190,1,0
53,0,28,72,Ferrari,2009,81,3,1
40,1,25,8,Pontiac,1997,112,0,1
31,0,17,69,Mercury,2006,100,0,1
32,0,3,179,Suzuki,2007,498,2,0
58,0,19,6,Nissan,1998,127,4,0
49,1,4,112,Buick,1989,428,3,1
50,0,29,12,GMC,1992,146,1,0
45,1,5,33,Audi,2004,159,0,1
46,0,21,183,Audi,1993,88,4,0
47,1,17,147,Mercury,1985,133,1,0
43,1,24,81,Mercedes-Benz,2011,152,4,0
41,0,39,121,Chrysler,1993,512,0,1
48,0,23,118,BMW,2012,157,2,1
39,1,15,15,Suzuki,1999,585,3,1
49,0,17,132,Fillmore,1960,82,2,1
45,0,8,168,Infiniti,2003,235,0,0
36,0,26,203,Chevrolet,1993,118,1,1
59,0,5,183,Toyota,2006,236,3,1
60,1,22,198,Buick,2012,100,3,1
49,0,13,125,Mercedes-Benz,1992,118,1,0
45,0,6,174,Mercedes-Benz,1992,451,1,0
34,1,8,168,Chevrolet,1996,176,2,0
57,1,4,180,Saab,2006,195,2,1
33,1,36,125,Isuzu,2003,140,1,0
52,1,5,18,Buick,1990,180,2,0
53,0,14,208,Lotus,2007,84,2,1
57,0,17,128,Ford,2001,80,3,0
37,0,10,58,GMC,2011,128,2,1
45,1,23,91,Toyota,2001,89,0,0
38,1,13,90,Mercedes-Benz,1998,121,0,0
36,0,15,182,Hyundai,2003,80,4,0
51,1,6,171,Land Rover,1994,135,3,0
39,1,13,92,Dodge,1993,159,1,0
51,0,1,40,Hyundai,2002,286,1,1
40,0,3,65,Mercedes-Benz,1998,248,1,1
54,0,4,54,Dodge,2011,186,1,0
34,0,5,11,Lincoln,2011,94,2,1
41,0,16,89,Dodge,2006,149,1,0
36,1,13,204,Volkswagen,1988,125,0,1
55,1,8,62,Land Rover,2003,100,1,1
45,0,28,193,Subaru,2006,134,3,1
45,1,20,57,Mercedes-Benz,2003,357,4,0
50,0,35,143,Buick,2002,107,3,1
44,1,22,5,Dodge,1997,98,1,0
55,0,35,13,GMC,2002,111,3,0
44,1,23,161,Ford,2005,94,2,0
50,1,15,59,BMW,2009,104,3,1
60,1,12,209,Acura,2002,148,2,1
40,1,10,185,Cadillac,1997,93,4,0
57,0,13,63,Honda,2006,112,4,1
47,1,15,111,Mercury,1993,119,2,1
47,1,26,206,Chevrolet,1992,108,4,0
64,0,9,127,Pontiac,1984,158,1,0
34,1,15,165,Dodge,1995,128,0,1
52,0,13,217,Dodge,2010,106,0,0
42,1,16,36,BMW,2004,154,1,1
41,1,3,133,Rolls-Royce,2005,299,0,1
41,1,12,121,Ford,1999,90,3,1
,0,5,211,Nissan,2009,108,1,1
54,1,4,134,Toyota,1997,220,3,0
42,0,7,120,Toyota,2001,159,0,0
56,0,5,127,Isuzu,1994,245,0,0
50,1,3,54,Buick,1991,253,1,1
59,0,13,18,Honda,2011,96,3,0
51,0,28,67,Volvo,2007,150,4,1
53,1,40,57,GMC,2010,148,1,0
35,0,17,205,Suzuki,1992,159,0,1
54,0,3,114,Volvo,2007,118,2,0
50,0,19,209,Mazda,1985,143,4,1
29,0,5,164,Ford,2004,156,1,1
32,0,11,86,Mitsubishi,2011,143,1,1
57,0,4,133,Chevrolet,2000,158,3,1
43,1,3,185,Chevrolet,1993,185,2,0
44,0,5,38,Geo,1997,135,0,1
38,0,4,13,Toyota,2003,583,2,0
37,0,3,159,Cadillac,2004,376,4,1
55,0,8,121,Mercury,1991,361,2,0
51,0,36,153,Pontiac,1973,81,4,1
42,0,11,135,Ford,2004,119,4,1
45,0,5,173,Toyota,2012,118,3,0
54,1,10,175,Lincoln,1987,80,3,1
48,0,6,75,Pontiac,1994,130,3,0
54,0,25,113,Ford,1989,80,1,1
48,0,9,137,GMC,2013,111,4,0
50,1,20,94,BMW,2010,111,3,0
25,0,6,11,Porsche,1999,388,3,1
55,1,6,83,Ford,1997,149,2,0
35,0,20,150,Mercedes-Benz,2011,138,0,1
29,0,3,45,Buick,1993,495,4,1
45,1,25,151,Toyota,1999,111,0,0
37,0,21,53,Chevrolet,2012,127,1,0
56,1,37,156,Mercedes-Benz,2008,673,1,1
45,0,18,201,Chevrolet,1991,98,0,0
51,0,21,62,Saab,2006,143,4,0
48,0,6,57,Pontiac,1993,152,1,1
52,1,14,36,Pontiac,1985,127,4,0
40,1,1,1,Volkswagen,2009,374,3,0
41,0,18,90,Acura,2008,136,2,1
44,1,7,2,Toyota,2003,141,1,1
54,1,7,141,Volvo,2006,102,3,1
42,1,3,20,Honda,1989,355,3,0
50,1,1,25,Subaru,2005,199,4,1
38,1,8,65,Lexus,2010,471,3,1
36,0,2,189,Ford,2013,452,1,1
62,0,19,50,Audi,1991,141,4,1
47,1,10,118,Volvo,2005,145,4,1
47,0,29,163,Dodge,2004,111,0,1
46,1,7,21,Ford,1997,316,4,1
42,1,4,7,Ford,1985,95,0,1
44,0,19,58,Dodge,2010,85,1,1
36,0,31,13,Lexus,1996,135,3,0
33,1,10,211,Lexus,2010,122,2,0
35,0,7,121,Acura,2005,300,2,0
43,0,9,84,Chevrolet,1973,123,2,1
45,1,14,11,Pontiac,1987,93,4,1
55,1,32,175,Chevrolet,2006,104,2,0
27,1,15,123,Mazda,1995,129,4,0
41,0,19,141,McLaren,2012,147,1,0
40,0,14,85,GMC,2011,86,4,0
43,0,5,49,Acura,2011,245,2,1
42,0,24,175,Subaru,1997,622,3,0
57,0,1,115,GMC,2010,219,3,1
56,0,14,190,Mitsubishi,2002,138,1,0
64,1,2,66,Toyota,2009,233,2,1
32,0,14,214,Nissan,2005,120,4,0
39,0,25,125,Subaru,2007,94,1,1
37,0,14,128,Toyota,1997,150,4,1
45,0,18,217,Aptera,2010,112,3,1
39,1,37,206,Aston Martin,2011,140,1,1
32,0,20,44,Volkswagen,2006,120,0,1
44,1,18,96,Ford,2001,99,3,0
39,0,6,84,Hyundai,2006,656,2,0
41,0,15,27,Honda,2002,85,0,1
35,1,25,129,Mercedes-Benz,2009,148,2,0
64,0,5,57,Chevrolet,2006,276,0,0
46,1,6,3,GMC,1997,91,4,1
59,0,6,51,Audi,1990,88,0,0
39,1,21,41,Ford,1998,121,3,0
44,1,18,24,Audi,2002,109,4,0
40,0,11,138,Volvo,2011,120,0,0
43,0,21,120,Volkswagen,2002,133,4,1
48,0,36,106,BMW,2006,141,2,1
38,0,5,182,Honda,2006,100,0,1
48,1,23,150,Mazda,2003,678,2,1
60,0,6,147,Audi,1987,423,3,0
59,1,1,94,Ford,2002,169,3,1
43,0,7,156,Ford,2006,472,4,0
43,0,3,209,Cadillac,2009,258,0,1
64,0,22,63,Ford,1983,91,3,1
55,0,2,115,Mitsubishi,1992,326,2,0
35,0,8,33,Mazda,2011,91,2,0
54,1,8,95,Oldsmobile,1994,296,1,0
35,0,3,214,Mazda,1988,125,0,0
46,1,16,47,Bentley,2006,124,3,1
26,0,5,164,Toyota,2003,210,1,0
43,1,13,206,Buick,1993,106,3,1
43,0,5,132,Chevrolet,2001,219,4,1
54,0,2,116,Chevrolet,2011,155,4,1
55,1,6,215,Geo,1995,141,0,1
45,1,1,18,BMW,2006,209,0,1
42,1,7,98,Toyota,2003,104,4,1
46,1,6,102,Chevrolet,1999,197,0,0
47,1,7,162,Chrysler,2011,308,1,0
45,0,7,4,Aston Martin,2008,217,1,0
55,0,1,81,Honda,2009,199,0,0
43,0,8,220,GMC,2006,149,4,1
53,1,6,136,Toyota,2007,539,0,1
49,0,30,30,Ford,2011,135,4,1
30,0,7,187,Ford,2012,530,4,0
47,0,19,155,Jeep,2010,157,2,0
41,0,3,200,Acura,2006,497,2,0
49,1,8,200,Chevrolet,2012,402,2,1
44,0,17,60,Pontiac,1989,149,0,1
31,0,24,7,Cadillac,2004,100,3,0
51,0,4,130,Mercedes-Benz,1992,353,0,1
50,1,37,86,Ford,1989,676,4,1
58,1,15,185,Chevrolet,2008,136,4,0
56,1,5,49,Lamborghini,2006,137,0,0
41,0,10,111,Nissan,1990,153,3,1
37,1,12,81,Bentley,2010,138,4,0
57,0,5,189,Chevrolet,1967,92,3,0
37,0,5,12,GMC,2010,420,0,1
34,0,10,192,Lexus,1998,106,3,1
49,1,31,147,Acura,1988,142,0,0
42,0,22,100,Honda,2006,144,4,1
38,1,7,133,Chrysler,2005,321,0,0
55,1,32,49,Suzuki,1992,103,3,0
37,0,18,202,Chevrolet,2010,134,1,1
25,1,14,40,Mercedes-Benz,2007,108,3,1
44,1,13,123,Pontiac,2010,81,2,1
20,0,10,181,Cadillac,2010,101,2,1
40,0,37,177,Ford,2010,107,0,0
32,1,8,215,Volvo,1998,124,1,0
35,0,11,93,Honda,2011,114,3,0
37,1,35,79,Pontiac,1987,643,0,0
58,1,7,109,Suzuki,2004,123,3,1
40,1,6,198,Cadillac,2002,265,1,1
54,0,9,149,Porsche,1988,158,0,1
39,1,6,98,Ford,1997,359,4,1
49,1,5,122,Lexus,2008,343,3,0
48,0,10,89,Audi,2001,124,1,1
42,1,16,89,Mercedes-Benz,2005,156,4,1
37,0,5,89,Audi,2012,507,1,1
56,0,1,53,Subaru,2011,289,4,1
48,1,8,169,Ford,1990,134,3,1
21,0,35,212,Dodge,1992,116,2,1
33,1,13,22,Saab,2002,125,1,1
38,0,15,7,Infiniti,2012,132,4,1
33,1,17,62,Mitsubishi,1992,138,3,0
51,1,7,51,Mazda,1998,126,3,0
45,1,5,70,Mercury,2004,161,1,1
40,0,1,217,Suzuki,1992,124,1,0
58,1,39,150,Isuzu,2008,152,2,0
50,1,6,93,Mazda,2006,97,4,1
39,1,8,91,Mercury,2010,158,1,1
50,1,5,2,Volkswagen,1994,106,2,1
39,0,4,162,Kia,1997,423,3,1
19,0,8,172,Bentley,2012,125,1,1
49,1,2,28,Subaru,2007,244,1,0
33,0,10,129,Chrysler,2003,98,0,1
43,1,37,159,Suzuki,2010,86,4,0
48,1,5,176,Chevrolet,1998,119,1,1
45,1,25,24,Cadillac,1996,128,4,0
39,1,2,39,Chevrolet,2001,459,4,1
32,1,12,96,Chrysler,2000,101,4,0
45,1,1,118,Cadillac,2007,245,0,0
46,0,2,51,Cadillac,2010,396,2,0
53,0,31,40,Ford,2010,92,2,0
63,0,34,97,Hyundai,2002,116,1,1
51,0,4,195,Chevrolet,2001,217,3,1
36,0,2,78,Ford,1988,300,2,1
72,0,1,37,Nissan,1992,271,3,0
51,1,18,197,Jaguar,2009,97,4,1
39,0,21,66,GMC,2007,137,3,1
34,0,2,63,Isuzu,1998,343,2,1
53,1,7,145,Mitsubishi,1989,93,3,1
45,1,2,149,GMC,1998,459,2,0
36,0,7,151,Eagle,1991,489,0,1
36,0,7,115,Acura,1989,128,4,0
32,1,28,100,Toyota,2012,108,0,1
43,1,2,216,Porsche,2013,253,0,0
54,0,22,208,Chevrolet,1996,125,3,0
57,1,3,64,Chevrolet,2005,447,3,0
47,0,3,82,Chevrolet,2008,111,0,1
36,0,23,176,Oldsmobile,1999,155,3,1
43,0,4,76,Lamborghini,1986,412,4,0
46,0,38,139,Pontiac,2000,619,2,0
41,0,5,131,Nissan,2010,420,3,1
55,1,38,109,Isuzu,2000,520,3,0
63,0,4,41,Volkswagen,1997,194,0,1
45,0,3,161,Cadillac,1992,171,3,1
35,1,16,169,Infiniti,2006,124,3,0
60,0,14,171,Scion,2011,142,3,0
51,0,23,1,Ford,2007,116,3,0
43,0,14,94,Pontiac,1971,146,3,0
39,1,12,144,Mercedes-Benz,2001,80,0,1
33,0,8,175,Buick,1990,409,3,1
37,0,20,85,Mercury,1993,122,2,1
39,0,28,53,Chevrolet,2011,97,0,1
43,1,14,215,Ford,1994,106,0,0
48,1,3,220,Ford,1992,117,3,0
45,1,2,209,Maserati,2011,201,4,0
56,0,9,47,Audi,1985,116,2,1
37,1,39,177,Suzuki,1998,534,3,0
40,0,18,155,Lexus,2013,157,3,1
51,1,7,71,Lexus,2011,386,4,1
42,0,30,105,Ford,1985,457,3,1
41,1,14,200,Dodge,1993,116,2,0
46,1,14,202,Ford,2010,633,4,1
35,1,4,118,Hyundai,1997,147,0,1
43,0,6,13,Acura,1992,271,4,0
64,0,15,171,Land Rover,2009,160,1,0
46,1,27,141,Ford,2010,158,0,0
39,1,9,24,Acura,1994,143,3,0
69,1,4,136,Dodge,2010,173,3,0
35,0,5,97,Ford,1995,338,0,1
44,1,32,78,MINI,2006,361,2,1
44,1,7,88,GMC,1994,97,2,1
39,0,7,84,Buick,1979,380,2,1
56,0,6,182,Suzuki,2003,328,1,1
59,1,6,45,Maybach,2012,228,2,0
41,1,5,101,Lexus,2012,166,0,0
57,0,3,135,Ford,1997,159,1,0
43,1,3,146,Pontiac,2005,154,1,1
42,1,5,76,Honda,2009,163,2,1
52,1,24,79,Volkswagen,2010,126,2,1
46,1,7,157,Ford,1991,98,3,0
51,1,25,219,Infiniti,2006,104,4,1
43,0,3,96,Toyota,2009,173,1,0
52,0,3,35,Mercedes-Benz,1988,677,1,0
43,0,5,19,Mercedes-Benz,2008,533,3,1
47,0,36,115,Dodge,2012,81,1,1
44,0,3,86,Hummer,2004,280,4,1
48,1,20,205,Subaru,1997,130,2,0
33,0,30,161,Mitsubishi,1986,154,1,0
41,0,5,71,Subaru,1994,411,4,1
49,0,37,180,Maybach,2005,449,0,0
50,0,5,54,Toyota,1994,274,4,1
42,1,19,87,Aston Martin,2010,146,2,1
33,0,2,161,GMC,2004,175,1,1
42,0,17,177,Ram,2011,122,2,1
41,0,1,30,Chrysler,2007,475,0,1
40,0,1,143,Oldsmobile,2000,378,3,1
51,0,5,74,Infiniti,2002,251,0,1
57,1,8,18,Volkswagen,1995,425,4,1
42,1,16,140,Hyundai,2003,159,0,0
46,0,35,1,Eagle,1992,142,1,0
56,0,5,23,Chevrolet,1979,496,4,0
52,0,7,75,Mazda,2011,401,3,0
38,0,5,110,Dodge,2000,358,3,0
43,1,35,109,GMC,2002,141,1,0
40,0,22,33,Lexus,2013,140,0,1
54,0,5,117,Subaru,2010,194,3,0
51,1,18,103,Ford,1989,91,3,1
27,1,4,62,Land Rover,1992,198,3,1
56,0,7,170,Mercury,1988,138,2,0
48,1,1,83,Honda,2010,166,0,1
47,1,3,134,Maybach,2011,136,2,1
38,1,30,168,Ford,2002,149,1,0
27,0,5,46,Audi,1992,338,2,1
33,0,8,30,Volvo,2012,137,2,1
42,0,6,16,GMC,2010,115,3,0
55,0,23,135,Volkswagen,1990,156,3,1
50,1,2,93,Jaguar,2002,284,0,1
48,1,5,57,Audi,2012,107,0,0
33,0,16,91,Toyota,2000,82,0,0
53,0,1,35,Nissan,2012,282,3,1
58,0,20,97,Infiniti,2012,149,2,0
43,1,18,81,Infiniti,2009,151,4,1
49,1,4,185,Dodge,1992,202,3,0
40,0,2,55,Volvo,1999,382,0,0
54,0,11,127,Volkswagen,2008,103,3,1
38,1,10,54,Nissan,1995,83,3,0
49,1,7,13,Hyundai,2003,358,0,0
39,0,5,114,Buick,1994,314,4,0
37,0,14,52,Acura,1997,126,0,0
27,0,18,214,Mazda,1993,140,2,1
48,1,17,6,Mitsubishi,1988,102,1,1
47,1,25,111,Acura,1999,274,1,1
38,0,11,149,BMW,2011,121,0,0
44,0,5,126,GMC,2007,141,0,1
44,0,3,138,Porsche,2004,258,0,1
46,1,17,160,BMW,2005,149,1,0
50,0,28,216,Chevrolet,2008,140,3,1
37,1,17,158,Nissan,2003,107,0,0
24,0,6,91,Pontiac,2008,141,0,0
37,1,12,8,Mercury,2001,142,0,1
38,0,1,78,Chevrolet,1996,177,1,0
43,0,2,102,Subaru,1995,444,1,0
46,0,5,152,Mercedes-Benz,1993,98,4,1
36,0,4,158,Volkswagen,2000,481,0,1
50,1,39,9,BMW,2001,591,0,0
31,1,3,215,Chevrolet,2012,402,2,1
47,1,3,148,Chevrolet,2011,133,4,0
42,0,18,36,Lexus,2012,107,2,1
44,1,7,171,GMC,2009,99,2,1
59,0,9,2,Cadillac,1998,109,2,0
40,1,5,81,Porsche,2007,157,1,0
31,0,18,183,Chevrolet,2003,150,3,0
40,1,15,180,Hyundai,2000,95,3,0
36,0,5,199,Subaru,1999,136,2,1
54,0,31,151,Mazda,2011,106,4,1
45,1,20,36,Nissan,2005,122,2,1
58,1,39,135,Mercedes-Benz,1993,691,2,1
39,0,20,173,Mazda,2000,93,3,1
46,0,5,172,Maybach,2009,398,2,0
32,1,6,59,Ford,1985,470,1,0
57,1,21,61,Dodge,1994,116,1,1
47,0,8,31,Dodge,1997,349,1,1
44,1,25,8,Chevrolet,1996,140,2,1
44,1,28,18,Dodge,1999,122,4,0
46,1,11,80,GMC,2002,110,2,1
55,1,5,39,Chevrolet,2000,130,3,0
52,0,19,123,BMW,2010,117,3,0
43,0,23,108,Dodge,2009,114,2,1
52,1,5,196,GMC,1995,109,4,0
51,0,3,131,Lotus,1986,159,3,1
47,1,10,134,Volvo,2013,117,4,0
52,0,17,219,Pontiac,1989,151,1,1
34,0,4,110,Chevrolet,1960,260,1,0
41,0,16,117,Dodge,2008,81,2,0
48,0,21,124,Chevrolet,1994,144,2,1
